course_name,course_number,course_description,course_requirements,course_dependent,major,expected_term,no_of_hours,course_type,no_of_available_sections
Discrete Structures1,CS114,"General description in to be used for the Bulletin or Handbook This course will introduce the student to a body of mathematical concepts essential for the mastery of some of the higher-level computer science courses. Topics include: Set theory, Functions and relations, Propositional and predicate logic, Proof techniques, Recursive Algorithms, Elementary combinatorics and Counting methods, Graph theory, and Discrete probability",No Requirements,"CS125, CS180, CS205, CS252","CS, IS, IT",Level One,3,Mandatory,3
Introduction To Java Programing,CS150,"interdisciplinary approach to the traditional CS1 curriculum with Java. We teach the classic elements of programming, using an “objects-in-the-middle” approach that emphasizes data abstraction. We motivate each concept by examining its impact on specific applications, taken from fields ranging from materials science to genomics to astrophysics to internet commerce.",No Requirements,CS151,"CS, IS",Level One,4,Mandatory,2
Applied Calculus 1,MATH113,Creating a general background of differential calculus and Integral Calculus and its applications which is essential to proceed to next courses in all programs.,No Requirements,"STA111, MATH114","CS, IT",Level One,4,Mandatory,1
General Physics,PH103,"This course focuses on basic physics concepts and connections to everyday life. Course topics include Motion in one dimension, vectors, laws of motion, work and kinetic energy, potential energy and conservation of energy, electric field, electric potential, capacitance, direct current. While advanced mathematics is not required for this course, basic math with some trigonometry and simple algebra is utilized. Overall goals of this course include students' gaining an appreciation for the physical world, improved critical thinking and reasoning skills, and improved scientific literacy for a better-informed public that can make intelligent voting decision.",No Requirements,PH104,"CS, IS, IT",Level One,3,Mandatory,3
English Language 1,ENG140,"This course, Applied Sciences Stream Level 1, is a special English language course for students at the Preparatory Programs Deanship. The focuses on accuracy and fluency in the four language skills(Listening, speaking, reading and writing) that improve student outcomes by integrating language instruction into real-life contexts. It maintains a strategy-based curriculum that aims at developing the all language skills. The textbooks used for this course are characterized by a consistent unit sequence that includes vocabulary, life stories, grammar, everyday conversation and real-life reading. The content of each unit is carefully presented to develop learners' other skills in vocabulary and idioms that provide learners with the tools they need to achieve civic, workplace, life-skills and academic competencies. The course, through these textbooks, focuses on reading, writing and vocabulary, listening and speaking, and grammar.",No Requirements,ENG141,"CS, IS, IT",Level One,3,Mandatory,4
The Holy Qur'an 1,QUR101,Learning and Recitation of Holy Quran (Reading 8 parts of the Quran and memorizing part 1).,No Requirements,No Dependent,"CS,IT,IS",Level One,1,Mandatory,0
Object-oriented programming ,CS151,"This course will introduce the student to the concepts of object oriented programming.. Programming topics include data hiding/encapsulation and abstraction using classes and objects, inheritance, polymorphism, generic programming using template, operator overloading and file I/O Upon successful completion of this course",CS150,CS252,"CS, IS",Level Two,4,Mandatory,0
Digital Logic Design,CS125,the basis for building any logical circuit and then to a digital system and it is in most devices and through it you can control the device you want,CS114,"CS228, CS222","CS, IS, IT",Level Two,4,Mandatory,2
Cybersecurity and ethicsCS180,CS180,"Cyber theft rings, hackers, and data breaches are just a few of the real threats that has the potential of derailing our daily life and compromising national and global security. Currently, with the use of intelligent techniques and access to sophisticated hardware, these threats do change daily in number and complexity. The Cyber Security and Digital Forensics Program at CCSIT is intended to produce skilled professionals to understand the processes that impact information security, safeguarding information assets, collection and preservation of digital evidences, analysis of data, and identification and fixing of security vulnerabilities. The major courses include fundamental of cybersecurity, Mathematical Foundations of Information Security, Information System Audit, Network Security, Digital Evidence Analysis, Architecture of Secure Operating System, Advanced Digital Forensic, Ethical hacking, Mobile & Wireless Security, Secure Software Design and Engineering, introduction to reverse engineering, and Applied Cryptography.",CS114,CS334,CS,Level Two,2,Mandatory,3
Introduction To Probability And Statistics,STA111,Introduction To Probability And Statistics,MAT113,CS205,"CS, IS",Level Two,3,Mandatory,3
