course_name,course_number,section_number,major,no_of_hours,reference_number,seats,classroom,daytime_days,daytime_t+A1+B+A1:J128
Discrete Structures1,CS114,371,CS+D2:D24,3,12000,15,C2-114,"S,T","12,000,200"
Introduction To Java Programing,CS150,372,CS,4,12001,30,C2-115,"M,W","8,251,015"
Applied Calculus 1,MATH113,373,"CS,IS,IT",4,12002,25,C2-118,"W,T","10,151,145"
General Physics,PH103,374,"CS,IS,IT",3,12003,15,C2-117,T,"12,300,100"
English Language 1,ENG140,375,"CS,IS,IT",3,12004,30,C2-514,"W,T","2,000,300"
The Holy Qur'an 1,QUR101,371,CS,1,12005,25,C2-515,"M,R","7,300,900"
Object-oriented programming ,CS151,372,CS,4,12006,15,C2-518,R,"12,000,200"
Digital Logic Design,CS125,373,CS,4,12007,30,C2-517,"S,T","8,251,015"
Cybersecurity and ethicsCS180,CS180,374,CS,2,12008,25,C2-114,"M,W","10,151,145"
Introduction To Probability And Statistics,STA111,375,"CS,IS,IT",3,12009,15,C2-115,"W,T","12,300,100"
Applied Physics,PH104,371,"CS,IS,IT",3,12010,30,C2-118,T,"2,000,300"
The Holy Qur'an 2,QUR151,372,"CS,IS,IT",1,12011,25,C2-117,"W,T","7,300,900"
Discrete Structures2,CS205,373,CS,3,12012,15,C2-514,"M,R","12,000,200"
Data Structures,CS252,374,CS,4,12013,30,C2-515,R,"8,251,015"
Computer architecture,CS228,375,CS,4,12014,25,C2-518,"S,T","10,151,145"
Applied Calculus 2,MATH114,371,"CS,IS,IT",4,12015,15,C2-517,"M,W","12,300,100"
The Holy Qur'an 3,QUR201,372,"CS,IS,IT",1,12016,30,C2-114,"W,T","2,000,300"
Design and Analysis of Algorithms,CS216,373,CS,3,12017,25,C2-115,T,"7,300,900"
Software Engineering 1,CS290,374,CS,3,12018,15,C2-118,"W,T","12,000,200"
Operating systems,CS222,375,CS,4,12019,30,C2-117,"M,R","8,251,015"
Linear algebra,MATH227,371,"CS,IS,IT",4,12020,25,C2-514,R,"10,151,145"
English Language 2,ENG141,372,"CS,IS,IT",3,12021,15,C2-515,"S,T","12,300,100"
The Holy Qur'an 4,QUR251,373,"CS,IS,IT",1,12022,30,C2-518,"M,W","2,000,300"
Computer Networks,CS330,374,CS,4,12023,25,C2-517,"W,T","7,300,900"
Artificial Intelligence,CS361,375,CS,4,12024,15,C2-114,T,"12,000,200"
Software Engineering 2,CS392,371,CS,3,12025,30,C2-115,"W,T","8,251,015"
Introduction to Databases,CS370,372,CS,3,12026,25,C2-118,"M,R","10,151,145"
Monotheisim,IDE133,373,"CS,IS,IT",2,12027,15,C2-117,R,"12,300,100"
Information Securty,CS334,374,CS,4,12028,30,C2-514,"S,T","2,000,300"
Human–computer interaction,CS351,375,CS,3,12029,25,C2-515,"M,W","7,300,900"
Seminar,CS383,371,CS,2,12030,15,C2-518,"W,T","12,000,200"
Communication Skills,COM207,372,"CS,IS,IT",2,12031,30,C2-517,T,"8,251,015"
Islamic Reformative Call,DAW129,373,"CS,IS,IT",2,12032,25,C2-114,"W,T","10,151,145"
Comiloer,CS445,374,CS,4,12033,15,C2-115,"M,R","12,300,100"
Distributed Systems,CS427,375,CS,3,12034,30,C2-118,R,"2,000,300"
Graduation Project 1 -CS-,CS495,371,CS,2,12035,25,C2-117,"S,T","7,300,900"
Grammer,ARB105,372,"CS,IS,IT",2,12036,15,C2-514,"M,W","12,000,200"
Graduation Project 2 -CS-,CS497,373,CS,3,12037,30,C2-515,"W,T","8,251,015"
History of the Kingdom,HST102,374,"CS,IS,IT",2,12038,25,C2-518,T,"10,151,145"
,,375,,2,12039,15,C2-517,"W,T","12,300,100"
Machine Learning,CS364,371,CS,3,12040,30,C2-114,"M,R","2,000,300"
Natural language processing,CS365,372,CS,3,12041,25,C2-115,R,"7,300,900"
Deep Learning,CS464,373,CS,3,12042,15,C2-118,"S,T","12,000,200"
Metaheuristic,CS467,374,CS,3,12043,30,C2-117,"M,W","8,251,015"
Digital Image Processing,CS456,375,CS,3,12044,25,C2-514,"W,T","10,151,145"
Selective Subjects In Artificial Intelligence,CS469,371,CS,3,12045,15,C2-515,T,"12,300,100"
Advanced Databases,CS375,372,CS,3,12046,30,C2-518,"W,T","2,000,300"
Web application development,CS346,373,CS,3,12047,25,C2-517,"M,R","7,300,900"
Mobile application development,CS447,374,CS,3,12048,15,C2-114,R,"12,000,200"
Game application development,CS358,375,CS,3,12049,30,C2-115,"S,T","8,251,015"
Selected topics in platform-based application development,CS449,371,CS,3,12050,25,C2-118,"M,W","10,151,145"
Cloud Computing,CS335,372,CS,3,12051,15,C2-117,"W,T","12,300,100"
Operating systems security,CS428,373,CS,3,12052,30,C2-514,T,"2,000,300"
Computer network security,CS337,374,CS,3,12053,25,C2-515,"W,T","7,300,900"
Software security,CS442,375,CS,3,12054,15,C2-518,"M,R","12,000,200"
Selected topics in cybersecurity and networks,CS443,371,CS,3,12055,30,C2-517,R,"8,251,015"
Applied Calculus 1 -IS-,MATH101,372,IS,4,12056,25,C2-114,"S,T","10,151,145"
Foundations of information systems,IS201,373,IS,3,12057,15,C2-115,"M,W","12,300,100"
Business requirements analysis,IS230,374,IS,3,12058,30,C2-118,"W,T","2,000,300"
Technical writing,ENG210,375,IS,3,12059,25,C2-117,T,"7,300,900"
Introduction to business administration,???100,371,IS,3,12060,15,C2-514,"W,T","12,000,200"
Microeconomics,???105,372,IS,3,12061,30,C2-515,"M,R","8,251,015"
Introduction to Databases -IS-,IS220,373,IS,3,12062,25,C2-518,R,"10,151,145"
Accounting principles,???100,374,IS,3,12063,15,C2-517,"S,T","12,300,100"
Database management systems,IS321,375,IS,3,12064,30,C2-114,"M,W","2,000,300"
Decision support systems,IS350,371,IS,3,12065,25,C2-115,"W,T","7,300,900"
Systems analysis and design,IS335,372,IS,3,12066,15,C2-118,T,"12,000,200"
Principles of Marketing,???301,373,IS,3,12067,30,C2-117,"W,T","8,251,015"
Information systems project management,IS336,374,IS,3,12068,25,C2-514,"M,R","10,151,145"
Cyber security,IS380,375,IS,3,12069,15,C2-515,R,"12,300,100"
Application development,IS337,371,IS,3,12070,30,C2-518,"S,T","2,000,300"
